Group	Length
1	19
1	18.6
1	18.3
1	18
1	18.2
1	18.6
1	18.5
1	18.2
1	18.4
1	18.9
1	19.9
1	18.5
1	16.9
1	18
1	17.3
1	17.8
1	20
1	19
1	19.2
1	18.9
1	17.5
1	18.1
1	18
1	18.1
1	17.4
1	17.9
1	17.4
1	16.7
1	19.7
1	19.3
1	19
1	19.4
1	19.8
1	19.3
1	18.5
2	18.3
2	17.9
2	17.6
2	17.3
2	17.5
2	17.9
2	17.8
2	17
2	17.7
2	18.2
2	19.2
2	17.8
2	16.2
2	17.3
2	16.6
2	17.1
2	19.3
2	18.3
2	18.5
2	18
2	16.8
2	17.2
2	17.3
2	17.4
2	16.7
2	17.2
2	16.7
2	16.2
2	19
2	18.6
2	18.3
2	18.7
2	19.1
2	18.6
2	17.8
3	18
3	18.6
3	18.3
3	18
3	18.2
3	18.2
3	18.5
3	18.2
3	19.2
3	18.5
3	19.9
3	18.5
3	16.9
3	18
3	17
3	17.2
3	20
3	19
3	19.2
3	18.9
3	17.5
3	18.1
3	18
3	18.1
3	17.4
3	17.9
3	17.4
3	16.5
3	19.7
3	19
3	19
3	19.7
3	19.8
3	19.3
3	17
